0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
2室2厅1厨1卫        ,低楼层(共6层)          ,82.7㎡          ,平层              ,暂无数据         ,板楼       ,南   ,1994,简装     ,砖混结构  , ,一梯三户           ,无           ,1.07104E+11,商品房          ,2021-03-06,普通住宅          ,暂无数据       ,共有           ,225万,27207,2021.05.05 成交,南苑四村 2室2厅 82.7平米,233挂牌价格（万）,61成交周期（天）,3调价（次）,带看（次）,40关注（人）,9662浏览（次）
2室1厅1厨1卫        ,高楼层(共6层)          ,66.43㎡          ,平层              ,暂无数据         ,板楼       ,南   ,1994,简装     ,砖混结构  , ,一梯两户           ,无           ,1.07104E+11,商品房          ,2021-04-17,普通住宅          ,暂无数据       ,非共有           ,480万,72257,2021.05.05 成交,由由四村 2室1厅 66.43平米,480挂牌价格（万）,19成交周期（天）,4调价（次）,带看（次）,13关注（人）,2107浏览（次）
1室1厅1厨1卫        ,高楼层(共6层)          ,38.68㎡          ,平层              ,暂无数据         ,板楼       ,南   ,1988,简装     ,砖混结构  , ,一梯四户           ,无           ,1.07104E+11,商品房          ,2021-04-21,普通住宅          ,暂无数据       ,非共有           ,190万,49121,2021.05.05 成交,逸仙一村 1室1厅 38.68平米,200挂牌价格（万）,15成交周期（天）,3调价（次）,带看（次）,9关注（人）,1736浏览（次）
1室0厅1厨1卫        ,低楼层(共5层)          ,30.26㎡          ,平层              ,暂无数据         ,板楼       ,北   ,1960,简装     ,砖混结构  , ,一梯七户           ,无           ,1.07104E+11,商品房          ,2021-03-12,普通住宅          ,暂无数据       ,非共有           ,170万,55982,2021.05.05 成交,商业一村 1室0厅 30.26平米,170挂牌价格（万）,55成交周期（天）,1调价（次）,带看（次）,159关注（人）,16942浏览（次）
2室1厅1厨1卫        ,高楼层(共6层)          ,68.29㎡          ,暂无数据              ,暂无数据         ,板楼       ,南   ,1997,简装     ,砖混结构  , ,一梯两户           ,无           ,1.07104E+11,商品房          ,2021-04-25,普通住宅          ,暂无数据       ,非共有           ,323万,47299,2021.05.05 成交,共富一村 2室1厅 68.29平米,325挂牌价格（万）,11成交周期（天）,0调价（次）,带看（次）,0关注（人）,58浏览（次）
3室2厅1厨2卫        ,低楼层(共8层)          ,117.1㎡          ,暂无数据              ,暂无数据         ,板楼       ,西南   ,1995,精装     ,钢混结构  , ,两梯四户           ,有           ,1.07104E+11,商品房          ,2021-04-03,普通住宅          ,暂无数据       ,非共有           ,988万,84373,2021.05.05 成交,太子公寓 3室2厅 117.1平米,999挂牌价格（万）,33成交周期（天）,1调价（次）,带看（次）,38关注（人）,5126浏览（次）
3室1厅1厨1卫        ,低楼层(共6层)          ,90.17㎡          ,平层              ,暂无数据         ,板楼       ,南   ,未知 ,简装     ,砖混结构  , ,一梯三户           ,无           ,1.07104E+11,商品房          ,2021-04-01,普通住宅          ,暂无数据       ,非共有           ,200万,22181,2021.05.05 成交,育秀二区 3室1厅 90.17平米,207挂牌价格（万）,35成交周期（天）,1调价（次）,带看（次）,9关注（人）,3557浏览（次）
3室1厅1厨1卫        ,低楼层(共18层)          ,80.7㎡          ,暂无数据              ,暂无数据         ,板楼       ,南   ,2016,毛坯     ,钢混结构  , ,两梯四户           ,有           ,1.07104E+11,商品房          ,2021-03-13,普通住宅          ,暂无数据       ,共有           ,410万,50806,2021.05.05 成交,宝祁雅苑(北区) 3室1厅 80.7平米,420挂牌价格（万）,54成交周期（天）,1调价（次）,带看（次）,42关注（人）,10150浏览（次）
2室2厅1厨1卫        ,高楼层(共6层)          ,60.65㎡          ,平层              ,暂无数据         ,板楼       ,南   ,1994,简装     ,砖混结构  , ,一梯四户           ,无           ,1.07104E+11,商品房          ,2021-04-14,普通住宅          ,暂无数据       ,非共有           ,304万,50091,2021.05.05 成交,航华一村二街坊 2室2厅 60.65平米,305挂牌价格（万）,22成交周期（天）,0调价（次）,带看（次）,32关注（人）,4884浏览（次）
1室1厅1厨1卫        ,低楼层(共16层)          ,48.13㎡          ,平层              ,暂无数据         ,塔楼       ,南   ,1993,精装     ,钢混结构  , ,两梯八户           ,有           ,1.07104E+11,商品房          ,2021-04-21,普通住宅          ,暂无数据       ,非共有           ,400万,83109,2021.05.05 成交,雪野二村 1室1厅 48.13平米,408挂牌价格（万）,15成交周期（天）,1调价（次）,带看（次）,1关注（人）,485浏览（次）
1室1厅1厨1卫        ,高楼层(共6层)          ,45.55㎡          ,平层              ,暂无数据         ,板楼       ,南 西 北   ,1988,简装     ,砖混结构  , ,一梯四户           ,无           ,1.07104E+11,商品房          ,2021-03-31,普通住宅          ,暂无数据       ,非共有           ,273万,59935,2021.05.05 成交,樱花苑 1室1厅 45.55平米,275挂牌价格（万）,36成交周期（天）,1调价（次）,带看（次）,52关注（人）,7175浏览（次）
1室1厅1厨1卫        ,高楼层(共6层)          ,37.1㎡          ,平层              ,37.1㎡         ,板楼       ,南   ,1995,精装     ,砖混结构  , ,一梯四户           ,无           ,1.07104E+11,商品房          ,2021-04-30,普通住宅          ,暂无数据       ,非共有           ,206万,55526,2021.05.05 成交,市光二村 1室1厅 37.1平米,210挂牌价格（万）,6成交周期（天）,0调价（次）,带看（次）,8关注（人）,1837浏览（次）
2室2厅1厨1卫        ,中楼层(共16层)          ,82.7㎡          ,暂无数据              ,暂无数据         ,板楼       ,南   ,2013,精装     ,钢混结构  , ,两梯四户           ,有           ,1.07104E+11,商品房          ,2021-05-01,普通住宅          ,暂无数据       ,非共有           ,251万,30351,2021.05.05 成交,天居玲珑湾 2室2厅 82.7平米,252挂牌价格（万）,5成交周期（天）,1调价（次）,带看（次）,0关注（人）,72浏览（次）
1室1厅1厨1卫        ,高楼层(共14层)          ,56.05㎡          ,平层              ,暂无数据         ,板楼       ,南   ,2011,精装     ,钢混结构  , ,一梯三户           ,有           ,1.07104E+11,商品房          ,2021-03-24,普通住宅          ,暂无数据       ,非共有           ,250万,44604,2021.05.05 成交,欣佳宝邸 1室1厅 56.05平米,255挂牌价格（万）,43成交周期（天）,0调价（次）,带看（次）,53关注（人）,6256浏览（次）
