Rooms,Floor,Area,HouseStructure,BuildingType,HouseOrientation,ConstructionTime,RenovationCondition,BuildingStructure,LadderRatio,Elevator,挂牌时间,TotalPrice,UnitPrice,TradeTime,DOM,Followers,HouseName1,Bedroom,Livingroom,Kitchen,Bathroom,HouseStructure_cat,BuildingType_cat,HouseOrientation_cat,RenovationCondition_cat,BuildingStructure_cat,Elevator_cat,Floor_cat
2室1厅1厨1卫        ,高,65,,板楼       ,南   ,1995-01-01,精装     ,砖混结构  ,一梯三户           ,无           ,2021-05-09,596,91552,2021-05-10,2,0,延长小区(闸北),2,1,1,1,-1,3,18,3,2,0,3
3室1厅1厨1卫        ,高,73,平层              ,板楼       ,南 北   ,,简装     ,砖混结构  ,一梯两户           ,无           ,2021-04-22,137,18582,2021-05-10,19,41,新建西路88弄,3,1,1,1,1,3,23,2,2,0,3
2室1厅1厨1卫        ,低,64,平层              ,板楼       ,南   ,1994-01-01,简装     ,砖混结构  ,一梯两户           ,无           ,2021-05-02,331,51057,2021-05-10,9,7,乾溪新村,2,1,1,1,1,3,18,2,2,0,1
2室0厅1厨1卫        ,低,44,,板楼       ,南   ,1979-01-01,简装     ,砖混结构  ,一梯五户           ,无           ,2021-04-11,410,92260,2021-05-10,30,0,东安四村,2,0,1,1,-1,3,18,2,2,0,1
3室1厅1厨2卫        ,中,107,平层              ,塔楼       ,西南   ,1998-01-01,精装     ,钢混结构  ,三梯十二户           ,有           ,2021-03-08,835,78001,2021-05-10,64,149,新衡公寓,3,1,1,2,1,0,35,3,3,1,0
3室2厅1厨2卫        ,低,130,平层              ,板楼       ,南 北   ,2006-01-01,精装     ,钢混结构  ,一梯两户           ,有           ,2021-02-23,1270,97483,2021-05-10,77,41,大华锦绣华城(十八街区)(公寓),3,2,1,2,1,3,23,3,3,1,1
1室1厅1厨1卫        ,中,47,平层              ,板楼       ,南   ,1993-01-01,精装     ,砖混结构  ,一梯三户           ,无           ,2021-04-03,348,72516,2021-05-10,38,13,绿梅一村,1,1,1,1,1,3,18,3,2,0,0
3室2厅0厨2卫        ,高,122,平层              ,板楼       ,南   ,2007-01-01,简装     ,钢混结构  ,一梯两户           ,有           ,2021-03-10,670,54623,2021-05-10,62,88,九城湖滨国际,3,2,0,2,1,3,18,2,3,1,3
1室1厅1厨1卫        ,低,53,平层              ,板楼       ,南   ,1997-01-01,精装     ,砖混结构  ,一梯三户           ,无           ,2021-04-17,325,61137,2021-05-10,24,42,文华苑(宝山),1,1,1,1,1,3,18,3,2,0,1
1室1厅1厨1卫        ,高,34,平层              ,板楼       ,南   ,1957-01-01,简装     ,砖混结构  ,一梯八户           ,无           ,2020-12-01,177,50921,2021-05-10,161,183,控江五村,1,1,1,1,1,3,18,2,2,0,3
3室2厅1厨2卫        ,中,122,平层              ,板楼       ,南   ,2017-01-01,毛坯     ,钢混结构  ,十梯三户           ,有           ,2021-01-31,354,28761,2021-05-10,100,112,海上湾闻涧,3,2,1,2,1,3,18,1,3,1,0
1室1厅1厨1卫        ,低,37,平层              ,板楼       ,南   ,1982-01-01,精装     ,砖混结构  ,一梯四户           ,无           ,2021-04-29,327,87887,2021-05-10,12,29,田林三村,1,1,1,1,1,3,18,3,2,0,1
1室1厅1厨1卫        ,中,59,,板楼       ,南   ,2003-01-01,精装     ,钢混结构  ,一梯两户           ,无           ,2021-05-09,543,90788,2021-05-10,2,0,虹康花苑(三期),1,1,1,1,-1,3,18,3,3,0,0
2室1厅1厨1卫        ,低,70,平层              ,塔楼       ,南   ,1991-01-01,精装     ,钢混结构  ,两梯十六户           ,有           ,2021-02-26,448,63502,2021-05-10,74,82,安龙大楼,2,1,1,1,1,0,18,3,3,1,1
1室2厅1厨1卫        ,中,61,平层              ,板楼       ,南   ,2004-01-01,精装     ,钢混结构  ,两梯四户           ,有           ,2021-05-06,670,109014,2021-05-10,5,9,宝地新品居,1,2,1,1,1,3,18,3,3,1,0
1室1厅1厨1卫        ,中,59,平层              ,板楼       ,南 北   ,2004-01-01,精装     ,钢混结构  ,两梯四户           ,有           ,2021-03-06,384,64022,2021-05-10,66,52,阳光威尼斯AB区,1,1,1,1,1,3,23,3,3,1,0
3室2厅1厨2卫        ,高,112,平层              ,板楼       ,南 北   ,2007-01-01,简装     ,钢混结构  ,一梯两户           ,无           ,2020-10-19,410,36533,2021-05-10,204,77,闵浦新苑六村,3,2,1,2,1,3,23,2,3,0,3
2室2厅1厨1卫        ,高,78,平层              ,板楼       ,南 北   ,2012-01-01,简装     ,钢混结构  ,一梯四户           ,有           ,2021-04-19,366,46720,2021-05-10,22,14,金沙鼎苑,2,2,1,1,1,3,23,2,3,1,3
